TrialNumber,ProductFilePath,product_ENG,product_KOR,genre,classification,price_range,InfoType,Q_Order,Credibility_EX,Credibility_CON,Credibility_PEER,Credibility_general,Preference,Credibility_EX_RT,Credibility_CON_RT,Credibility_PEER_RT,Credibility_general_RT,Preference_RT
17,laptop stand.png,laptop stand,노트북 거치대,STA,UT,HIGH,consensus,credibility_PEER-preference-credibility_general-credibility_EX-credibility_CON,2,7,1,6,3,0.24217059998773038,0.1290776999667287,0.23287479998543859,0.20969659998081625,0.4497404000721872
18,stickers.png,stickers,스티커,STA,HE,LOW,consensus,preference-credibility_general-credibility_EX-credibility_PEER-credibility_CON,2,7,1,6,4,0.4500272001605481,0.09779030014760792,0.17671360005624592,0.1493577000219375,1.1926078998949379
19,caviar.png,caviar,캐비어,FOOD,HE,HIGH,gpt,credibility_EX-preference-credibility_general-credibility_CON-credibility_PEER,6,1,1,7,4,0.6901169000193477,0.3949759001843631,0.2716271998360753,0.1733526000753045,0.5947785000316799
20,bread.png,bread,식빵,FOOD,UT,LOW,expert,credibility_CON-credibility_EX-preference-credibility_PEER-credibility_general,7,2,1,7,4,0.2441336999181658,0.4037585000041872,0.2022200000938028,0.5212175999768078,0.600683799944818
21,mouse pad.png,mouse pad,마우스 패드,STA,UT,LOW,gpt,credibility_PEER-credibility_general-credibility_CON-credibility_EX-preference,6,2,1,7,7,0.28389309998601675,0.20581609988585114,0.26175359985791147,0.2155595999211073,0.24525179993361235
22,leather notebook.png,leather notebook,가죽 노트,STA,UT,HIGH,peer,credibility_general-credibility_CON-preference-credibility_EX-credibility_PEER,2,2,1,2,7,0.4153209999203682,0.7776706998702139,0.3179534999653697,1.061251499922946,0.1999925000127405
23,organic olive oil.png,organic olive oil,엑스트라 버진 올리브 오일,FOOD,UT,HIGH,expert,credibility_CON-preference-credibility_EX-credibility_PEER-credibility_general,7,2,1,7,6,0.17994800000451505,0.3999838000163436,0.1899421000853181,0.14904300007037818,0.26963980006985366
24,manuka honey.png,manuka honey,마누카 꿀,FOOD,HE,HIGH,peer,credibility_PEER-credibility_CON-preference-credibility_EX-credibility_general,3,1,1,4,7,0.4876647999044508,6.387759999837726,0.3710729000158608,1.2204136999789625,0.3104300999548286
25,steak 500g.png,steak 500g,소고기 채끝 500g,FOOD,UT,HIGH,gpt,credibility_CON-credibility_EX-credibility_general-credibility_PEER-preference,7,2,1,7,7,0.2317273998633027,1.1926098000258207,0.23342140018939972,0.206474999897182,0.23881500004790723
26,egronomics chair seat.png,egronomics chair seat,자세교정 방석,STA,UT,HIGH,expert,preference-credibility_general-credibility_PEER-credibility_EX-credibility_CON,7,1,1,7,7,0.2933376000728458,0.23387120012193918,0.1617063998710364,0.21322080004028976,0.26122740004211664
27,fountain pen.png,fountain pen,만년필,STA,HE,HIGH,consensus,credibility_PEER-preference-credibility_EX-credibility_general-credibility_CON,2,7,1,6,4,0.32375059998594224,0.209995900047943,0.24111459986306727,1.0464390001725405,0.71511169988662
28,cable organizer.png,cable organizer,케이블 정리 악세서리,STA,UT,LOW,expert,credibility_general-credibility_CON-preference-credibility_PEER-credibility_EX,7,2,1,7,7,0.1682005999609828,0.22491839993745089,0.2957768999040127,0.15329249994829297,0.17268800013698637
29,scientific calculator.png,scientific calculator,공학 계산기,STA,UT,HIGH,gpt,credibility_CON-credibility_general-credibility_PEER-credibility_EX-preference,7,2,1,6,7,0.4375924998894334,0.20806420012377203,0.18836200004443526,0.43458180013112724,0.19923640019260347
30,mango set.png,mango set,애플망고 세트,FOOD,UT,HIGH,consensus,credibility_EX-preference-credibility_CON-credibility_general-credibility_PEER,4,7,1,6,7,0.2639894001185894,0.39318410004489124,0.39738300000317395,0.4086343999952078,0.25088419998064637
31,instant coffee.png,instant coffee,커피 믹스,FOOD,HE,LOW,peer,credibility_EX-credibility_CON-credibility_general-preference-credibility_PEER,2,2,1,4,4,0.29324680007994175,0.5756978001445532,0.21798359998501837,1.0131639000028372,0.477889200206846
32,frozen pizza.png,frozen pizza,냉동 피자,FOOD,UT,LOW,peer,credibility_PEER-preference-credibility_general-credibility_CON-credibility_EX,3,2,2,4,2,0.2973957001231611,0.28641710011288524,1.0079191999975592,0.22740319999866188,0.4809413000475615
